,Review1,"bản thân không trang điểm chỉ dùng kem chống nắng nên dùng nước tẩy trang là phù hợp, cứ nghĩ dịch covid sẽ ảnh hưởng đến thời gian vận chuyển nên sẽ bị nhận sản phẩm bị lâu không ngờ, vẫn như lúc chưa dịch, cám ơn tiki và đối tác vận chuyển"
2,"nước tẩy trang cực thích, thơm nhẹ nhẹ và rất tẩy trang rất sạch, mịn da lắm ko bị khô da như sản phẩm khác. mình tẩy trang xong, khoảng 30 sau mới tắm mà da vẫn mềm mịn 😍😍😍😍😍. mình mua hôm có giảm giả 112k còn được tặng thêm 1 chai tẩy trang nha đam 100ml 😍😍😍😍😍😍😍😍😍"
3,tiki giao hàng lau do dịch có thể hiểu.. nhưng mình quá thất vọng vs 2 đơn hàng liền khi nhận đc hộp hàng móp méo. toàn mỹ phẩm nhu vậy. còn 3 đơn tiếp theo mình nghĩ cũng sẽ k khác gì..
4,Nước tẩy trang mùi hơi nồng nên không thích hợp cho người dị ứng với mùi hương trong các sp mỹ phẩm. Sản phẩm tẩy trang ở mức ổn. Mình thường dùng cho buổi sáng  khá tiện lợi.
5,Sản phẩm thì tốt. Nhưng cách gói hàng này mình không thích 1 chút nào.
6,"Đã nhận và *** hàng! 
Hàng giao nhanh hơn dự kiến 2 ngày. 
Tông đơ vận hành chuẩn.
Sản phẩm thiết kế, hoàn thiện cao cấp hơn mức giá bán ra.
Độ bền thì cần thời gian mới trả lời được.
Cổng sạc usb-c quả là hợp thời và tiện dụng.
Hàng đóng gói rất kỹ, nguyên sealed 2 hộp.
Hài lòng!"
7,"Sản phẩm rất phù hợp cho mùa dịch Covid luôn. Tóc thì dài quá nên nhờ có tông đơ này mà mọi căng thẳng trên đầu đều tan biến nhé.
Máy có nhiều nấc để cắt tóc dài ngắn khác nhau. Hiện mình cắt tròn hết đầu với 2,1 cm. 2 bên và sau gáy thì cắt 3mm. Khá là nhanh và tiện lợi nè.
Còn được tặng khăn choàng cắt tóc khi mua nữa nên rất là tuyệt vời nè."
8,"Giao hàng nhanh. Bao bì đẹp, trang trọng, đóng gói tốt, có cả thẻ bảo hành của nhà cung cấp. Nhân viên giao hàng lễ phép, nhiệt tình.
Sản phẩm hoàn thiện tốt, có dây sạc chổi vệ sinh, dầu bôi trơn đi kèm. Chưa cắm sạc, hớt hết 1 cái đầu vẫn còn pin. Máy chạy khá êm, cắt ngọt. Đầu đẹp hay xấu tùy tay nghề của bạn.
Chỉ phù hợp dùng trong gia đình, không được như tông đơ ngoài tiệm nhé"
9,"[QC] Hết tiền, hết data? Chúng tôi cam kết xử lý vấn đề của Bạn! Soạn ngay DGN1 gửi 9145 (miễn phí hôm nay) để nhận 10.000đ vào TKC từ MobiFone. Tặng thêm cơ hội nhận thẻ nạp 100.000đ/ngày và giải chung cuộc 5 TRIỆU ĐỒNG khi tham gia đấu giá ngược mWin. MIỄN PHÍ ngày đầu, duy trì dv 48h tiếp theo để nhận thưởng. Sau KM 3.000đ/ngày. LH 9090. Từ chối QC, soạn TC MOBI_KM gửi 9241"
10,"Hàng vận chuyển bị móp méo quá, may mà sản phẩm không sao.
Nhưng bạn Shipper có thái độ không tốt cho lắm. Dù biết mùa dịch khó khăn nhưng cách nc với khách hàng hơi bị trịch thượng.
Mất 2 sao vì shipper và vận chuyển."
11,"Tiki đợt này đóng gói hàng tệ quá. Mua của nhà bán hàng Tiki Trading, mỹ phẩm mà không bọc lớp bảo vệ hay đệm gì, cũng không  dán tem hàng dễ vỡ. Giao hộp bên ngoài thì móp méo hết, sản phẩm bên trong cũng bị đè lõm vào luôn. Chai sữa rửa mặt may mà chưa bể  chứ bể rồi không biết phải nói thế nào. Tệ quá."
